SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223390.440677, 2.324919, 9.130438, 0.463128, -1.369494, -0.786196, -0.244478, -68.453247, -0.423309, -152.304321
1759223390.460682, 2.794333, 8.715493, 0.452055, -1.466758, -0.471580, -0.101939, -68.748291, 0.005249, -151.706177
1759223390.480668, 2.378789, 8.160487, 0.830040, -1.477949, -0.364673, 0.127357, -68.749283, 1.355820, -150.800827
1759223390.500697, 1.960402, 8.672696, 0.412701, -1.272226, -0.286153, 0.228433, -69.242065, 1.642319, -150.371704
1759223390.520688, 1.821987, 11.149348, -0.263961, -1.091475, -0.417320, 0.136591, -69.256088, 2.295044, -149.187485
1759223390.540671, 1.251719, 12.765883, -0.552761, -1.055908, -0.875556, 0.092661, -69.623978, 2.963943, -148.258698
1759223390.560699, 0.613215, 12.252327, 0.263811, -0.719702, -0.964215, 0.069696, -70.392578, 3.333984, -148.060913
1759223390.580694, 1.126023, 13.206416, 0.516100, -0.554793, -1.038684, 0.189140, -70.684128, 3.910309, -146.808899
1759223390.599987, 0.644190, 13.569288, -0.171335, -0.815095, -0.922225, 0.426591, -71.324265, 4.264938, -145.880936
1759223390.620699, -0.464625, 12.505663, -1.474529, -0.788266, -0.626126, 0.575725, -71.169861, 4.858582, -145.241623
1759223390.640665, -0.658256, 11.632079, -4.139425, -0.111658, -0.599062, 0.480675, -71.547714, 4.987991, -144.948975
1759223390.660686, -2.570475, 13.474268, -2.555062, 0.978782, -0.618642, -0.042465, -71.617157, 4.461166, -145.647354
1759223390.680695, -3.301604, 13.449577, 1.212214, 1.521943, 0.103803, -0.609531, -72.272659, 3.723953, -145.833389
1759223390.700416, -1.532888, 11.798027, -1.344943, 2.225087, 0.707767, -0.914493, -72.296982, 2.041321, -147.034637
1759223390.720751, -0.379930, 12.821997, 0.733972, 2.386967, 0.723499, -1.319858, -72.987061, 0.428329, -148.239700
1759223390.740719, 1.065270, 12.092065, 3.952228, 2.049752, 0.807380, -1.623784, -73.402069, -1.194443, -148.809814
1759223390.760730, 3.930381, 13.973309, 3.501819, 1.867329, 1.661802, -1.372554, -72.945084, -2.984833, -150.324768
1759223390.780697, 6.804171, 16.740108, 4.859930, 1.423116, 1.734259, -0.431580, -72.102051, -4.213623, -151.201645
1759223390.800698, 7.768287, 16.656910, 4.650886, 1.307348, 0.978673, 0.415991, -71.331863, -4.755157, -152.192551
1759223390.820696, 6.409427, 14.671817, -3.672556, 3.099472, -1.137213, 0.552089, -71.396652, -5.802704, -152.515381
1759223390.840691, 6.578668, 11.031135, 3.321207, 3.233319, -0.786216, 0.406523, -72.333618, -8.146088, -153.336807
1759223390.860694, 4.045453, 8.580071, 5.058948, 3.317530, 0.949276, -0.300282, -71.944458, -10.148148, -154.536194
1759223390.880684, 3.514987, 7.688679, 2.025195, 4.254587, 0.621604, -0.659602, -71.455414, -12.607864, -155.521957
1759223390.900792, 3.258508, 7.653066, 2.773832, 4.679996, 0.042142, -0.749861, -71.038925, -16.350357, -156.680695
1759223390.920041, 3.129820, 6.715436, 2.218976, 4.579863, 0.136950, -0.680749, -71.401398, -20.084549, -157.359329
1759223390.940707, 2.989759, 4.812345, 0.553509, 3.769475, 1.036255, -0.614437, -70.938599, -23.239777, -157.640671
1759223390.960628, 3.111415, 3.603124, 1.833510, 2.409621, 1.256141, -0.385308, -70.016510, -25.589645, -157.661865
1759223390.980694, 3.501221, 2.442086, 2.183662, 1.444658, 0.852814, -0.079161, -69.377258, -26.774750, -158.365845
1759223391.000783, 2.959832, 1.510442, 1.872266, 1.016683, 0.754181, 0.073642, -68.958481, -27.254349, -158.222336
1759223391.020421, 1.347936, 1.252616, 1.885284, 0.560374, 0.608210, 0.003034, -68.548981, -28.177460, -158.498718
1759223391.040666, 0.624138, 1.359009, 0.679355, -0.218849, 0.439646, -0.192775, -67.975571, -28.071259, -158.556778
1759223391.059967, 0.550816, 2.096572, -2.947412, -1.136849, 0.851176, -0.161175, -67.605438, -27.515564, -158.813065
1759223391.080396, -1.151761, 5.510704, -8.169615, -1.784753, 1.204575, -0.280945, -66.862030, -26.114609, -159.054214
1759223391.100797, 0.227898, 10.889877, -17.510742, -0.851641, 1.374844, -0.219346, -66.029190, -25.229813, -159.606613
1759223391.120689, 3.260903, 19.736302, -18.029985, -0.620247, 0.951260, 0.311231, -64.783508, -24.343216, -160.194733
1759223391.140556, -0.369605, 16.795325, -6.335955, -0.909488, -0.984807, -0.344481, -64.899338, -23.886353, -160.022934
1759223391.160693, 0.383072, 10.437073, -8.298902, 0.646299, -0.152115, -0.805407, -65.439560, -23.951660, -159.866608
1759223391.180693, 0.488268, 5.105934, -5.707029, 1.232352, 1.207001, -0.996817, -64.825821, -24.707428, -160.721375
1759223391.200689, 5.097555, 4.298789, 6.735189, -0.604710, -0.428834, -0.075751, -64.719040, -25.510880, -160.504333
1759223391.220732, 15.764770, 13.984382, -2.732832, -0.375141, 0.696952, 2.988267, -64.955719, -24.394638, -160.710678
1759223391.240724, 8.027758, 19.155409, 10.062231, -1.736490, -0.178834, 2.537744, -64.269333, -23.129745, -160.867615
1759223391.260763, 1.317559, 8.404546, 9.364621, -2.014084, 0.188936, -0.746082, -64.375381, -21.093643, -160.035645
1759223391.280759, 2.800917, 3.233968, 1.699584, -1.679863, -1.316995, -1.426704, -64.991440, -19.845932, -160.556061
1759223391.300828, 5.260660, 5.508609, 2.459444, -2.162636, -1.826534, -0.482202, -66.599472, -18.770142, -159.509369
1759223391.320729, 4.022857, 9.927557, 2.981080, -2.868244, -0.927092, 0.113049, -67.716721, -16.584671, -159.683884
1759223391.340681, 3.278410, 11.871948, 0.774375, -2.990493, -0.714448, 0.148757, -68.060822, -14.435349, -159.170013
1759223391.360691, 3.742885, 12.837410, 1.491887, -2.994860, -0.424445, 0.010009, -68.650543, -12.157516, -158.103210
1759223391.379920, 4.232350, 11.162816, -0.365714, -2.342656, -0.293522, 0.060003, -68.841995, -10.060989, -156.996216
1759223391.400712, 3.778050, 8.909573, 0.000449, -1.707857, 0.005713, 0.180052, -68.895782, -8.373917, -156.641434
1759223391.419985, 1.922095, 7.426065, 0.883161, -1.443869, 0.260234, 0.106003, -68.854660, -6.945206, -156.147049
