SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759229818.18023,2.839224,1.846079,0.446968,0.241811,0.903734,-0.278865,6,DOWNSTAIRS
1759229818.20024,2.988861,0.046088,-0.085443,-0.566089,1.362725,0.220614,6,DOWNSTAIRS
1759229818.21997,4.761768,-0.456395,-0.887351,-1.360895,1.807393,0.71293,6,DOWNSTAIRS
1759229818.23979,5.369147,-0.260369,-1.731157,-1.848459,1.838893,1.183586,6,DOWNSTAIRS
1759229818.26024,2.994697,0.238373,-1.484555,-2.046268,2.091547,1.355268,6,DOWNSTAIRS
1759229818.28026,0.677409,1.677886,0.162955,-1.912841,2.513929,1.261714,6,DOWNSTAIRS
1759229818.30023,1.438766,5.377826,-0.38008,-1.109722,2.555311,1.074812,6,DOWNSTAIRS
1759229818.31937,4.043358,11.757326,-5.387702,0.419184,1.727079,0.913273,6,DOWNSTAIRS
1759229818.34024,4.000711,16.015713,-8.913164,0.240645,4.080871,0.236711,6,DOWNSTAIRS
1759229818.36025,1.639878,11.914445,-7.604134,-0.590865,3.102904,-0.446976,6,DOWNSTAIRS
1759229818.38024,2.427571,7.003788,-3.556736,-1.127794,0.090276,-0.642094,6,DOWNSTAIRS
1759229818.40024,6.13155,4.382736,-4.378247,-0.750668,-2.237237,-0.154464,6,DOWNSTAIRS
1759229818.41979,13.91944,9.1873,-8.182184,0.216635,-2.569752,0.201663,6,DOWNSTAIRS
1759229818.44025,12.902652,14.64189,0.949301,-0.47772,0.078061,0.280527,6,DOWNSTAIRS
1759229818.46025,5.481076,10.615441,-3.747524,-0.153249,-0.647832,0.102768,6,DOWNSTAIRS
1759229818.48027,1.807173,8.847623,5.794417,0.011687,-0.69398,-0.024495,6,DOWNSTAIRS
1759229818.50026,0.837522,10.827178,6.78008,-1.073077,-0.130807,-0.304569,6,DOWNSTAIRS
1759229818.52018,1.362151,38.527493,-11.767052,-3.675704,-2.929223,-0.445968,6,DOWNSTAIRS
1759229818.54024,1.338209,16.519094,-5.31408,-1.428036,-3.090696,-1.368372,6,DOWNSTAIRS
1759229818.56024,5.021539,6.340893,-1.724124,0.276535,-0.195961,-0.797843,6,DOWNSTAIRS
1759229818.58032,7.264606,4.365677,1.926734,0.745214,1.957427,0.142767,6,DOWNSTAIRS
1759229818.60025,5.655553,4.929512,3.75321,0.32308,2.657154,0.597187,6,DOWNSTAIRS
1759229818.62024,6.299893,5.23986,0.013617,0.171926,2.70563,0.623933,6,DOWNSTAIRS
1759229818.63937,7.953837,14.222456,-7.23004,-0.20889,1.2042,0.255124,6,DOWNSTAIRS
1759229818.65999,1.043872,11.000758,0.399532,-1.343116,-1.154374,-0.375876,6,DOWNSTAIRS
1759229818.68034,0.857124,4.861875,0.101454,-1.257969,-1.254147,-0.236798,6,DOWNSTAIRS
1759229818.70025,2.467225,0.275333,-1.640028,-0.478214,-0.567118,0.15045,6,DOWNSTAIRS
1759229818.72004,0.785897,-3.874417,-5.630414,0.538712,-0.050382,0.28875,6,DOWNSTAIRS
1759229818.74027,2.713828,8.358906,-6.595876,0.44822,-0.89754,0.576674,6,DOWNSTAIRS
1759229818.76026,3.932027,15.856349,0.184054,-0.624385,-1.990209,0.119348,6,DOWNSTAIRS
1759229818.78034,-0.658555,8.983194,-3.267786,-0.438215,-2.031454,-0.762696,6,DOWNSTAIRS
1759229818.80028,2.211045,2.043451,-4.61213,0.44728,-1.42455,-0.289001,6,DOWNSTAIRS
1759229818.82024,5.225495,1.06931,-1.526154,1.032791,-1.148079,0.750111,6,DOWNSTAIRS
1759229818.84015,4.034679,5.85936,-2.417395,1.238736,-0.822457,0.653542,6,DOWNSTAIRS
1759229818.86025,2.832191,6.250063,-1.422904,1.020904,-0.455574,0.580278,6,DOWNSTAIRS
1759229818.88039,0.577003,5.552004,2.610278,0.794014,0.201773,0.303642,6,DOWNSTAIRS
1759229818.90025,0.676063,8.548198,-5.042039,1.617451,0.789604,0.257347,6,DOWNSTAIRS
1759229818.92024,4.46788,21.217864,-5.405359,1.88055,-0.374058,0.260133,6,DOWNSTAIRS
1759229818.94025,1.298854,29.73808,-8.447342,1.739231,-2.654612,-1.309841,6,DOWNSTAIRS
1759229818.96025,2.275689,19.109021,-11.306019,0.976989,-3.405861,-1.642927,6,DOWNSTAIRS
1759229818.98036,10.064775,12.375179,-7.635408,1.382728,-1.64529,-0.759894,6,DOWNSTAIRS
1759229819.00025,11.999888,10.272322,-3.698443,2.442421,-0.205885,-0.480371,6,DOWNSTAIRS
1759229819.02025,7.822755,10.359561,-3.957765,2.497889,-0.049222,-0.839229,6,DOWNSTAIRS
1759229819.04024,5.863101,8.569147,-4.107403,1.248546,-0.472268,-0.907196,6,DOWNSTAIRS
1759229819.06025,4.844218,6.97012,-2.240823,0.145203,-0.588004,-0.80762,6,DOWNSTAIRS
1759229819.08026,4.846163,7.545626,-1.748066,-0.01861,-0.663806,-0.63691,6,DOWNSTAIRS
1759229819.10026,3.55105,7.758111,-1.574487,0.003139,-0.484201,-0.528947,6,DOWNSTAIRS
1759229819.12024,2.46079,6.184522,-1.561768,-0.304744,-0.202688,-0.304151,6,DOWNSTAIRS
1759229819.14025,1.513135,3.905242,-1.707066,-0.632622,0.406738,-0.054927,6,DOWNSTAIRS
1759229819.15969,1.4244,2.220173,-1.041178,-0.876961,1.071749,0.202442,6,DOWNSTAIRS
1759229819.18036,1.105373,1.396119,0.009876,-1.042538,1.647356,0.308403,6,DOWNSTAIRS
1759229819.19969,-0.564732,0.126294,0.438887,-1.168421,2.143155,0.228007,6,DOWNSTAIRS
1759229819.22024,-0.5161,-0.145897,0.59451,-1.303455,2.307439,0.300656,6,DOWNSTAIRS
1759229819.23959,0.16116,-0.098462,0.262015,-1.421253,2.244495,0.691532,6,DOWNSTAIRS
1759229819.26032,1.55683,1.657685,0.419135,-1.547141,2.356538,1.322554,6,DOWNSTAIRS
1759229819.28028,4.329166,6.464943,-0.878672,-1.476217,3.485075,1.897123,6,DOWNSTAIRS
1759229819.30025,4.976199,13.026253,-10.596138,0.206948,4.254059,1.237766,6,DOWNSTAIRS
1759229819.32024,4.622306,15.873258,-11.137078,1.185373,3.243297,-0.239532,6,DOWNSTAIRS
1759229819.33997,7.061399,12.481123,-6.423045,0.203146,1.999884,-0.270287,6,DOWNSTAIRS
1759229819.36026,7.657555,7.657704,-5.148581,-0.784925,0.842428,-0.50364,6,DOWNSTAIRS
1759229819.38024,12.090269,4.553472,-5.519084,-1.023462,-2.445623,-0.117132,6,DOWNSTAIRS
1759229819.39975,16.632369,7.691822,-8.412626,-0.231947,-4.54453,0.986359,6,DOWNSTAIRS
1759229819.42024,14.845846,9.486874,-3.942053,-0.703002,-0.78978,0.197452,6,DOWNSTAIRS
1759229819.44024,0.6192,10.080936,5.78918,-0.819225,-1.977232,-0.55975,6,DOWNSTAIRS
1759229819.46025,-1.061828,7.380426,5.11596,0.054782,-1.409752,-0.944591,6,DOWNSTAIRS
1759229819.48025,-2.928707,9.478195,9.294291,-0.695078,-1.170043,-1.373998,6,DOWNSTAIRS
1759229819.50027,-3.741389,43.694031,-17.690756,-2.606457,-5.021235,-0.903655,6,DOWNSTAIRS
1759229819.52026,0.826299,14.176517,-2.145055,-1.33032,-2.135504,-1.097604,6,DOWNSTAIRS
1759229819.54025,2.338536,3.2,-2.121712,0.266233,-0.037774,-0.93634,6,DOWNSTAIRS
1759229819.55951,4.567837,0.9704,-2.467973,0.681057,0.779411,-0.512847,6,DOWNSTAIRS
1759229819.58028,6.939444,1.782184,1.975366,0.5416,2.259626,0.516906,6,DOWNSTAIRS
1759229819.60025,6.65184,5.143044,-6.535422,0.775703,2.718843,1.250027,6,DOWNSTAIRS
1759229819.62024,6.994211,12.595895,-2.993949,-0.055737,0.626142,1.175933,6,DOWNSTAIRS
1759229819.64025,1.635539,14.396783,1.103577,-1.184797,-1.462349,-0.425418,6,DOWNSTAIRS
1759229819.66025,-0.440982,9.921272,-1.324293,-1.423602,-2.035489,-0.871329,6,DOWNSTAIRS
1759229819.68027,-0.11956,3.913472,-2.331354,-0.831157,-1.297874,-0.588534,6,DOWNSTAIRS
1759229819.70025,0.592864,2.541744,-7.960721,0.170404,-0.535778,0.401685,6,DOWNSTAIRS
1759229819.72024,1.13964,8.122329,-1.701529,-0.083097,-0.102842,0.671848,6,DOWNSTAIRS
1759229819.74036,1.274763,9.040356,-0.155174,-0.311246,-0.270883,0.103743,6,DOWNSTAIRS
1759229819.75945,1.960253,4.856638,-2.18426,0.09169,-0.65263,0.185594,6,DOWNSTAIRS
1759229819.78037,3.089418,0.66903,-1.363199,0.361524,-0.224518,0.593236,6,DOWNSTAIRS
1759229819.80025,3.036596,1.257554,-4.245219,0.728999,0.547164,0.641783,6,DOWNSTAIRS
1759229819.82023,2.254141,9.563639,-5.069423,0.541929,0.128561,0.577113,6,DOWNSTAIRS
1759229819.84025,3.021931,17.295563,-1.359458,0.574874,-0.43332,0.210502,6,DOWNSTAIRS
1759229819.86025,0.550217,22.747759,-8.100632,1.722162,-0.903087,-0.837288,6,DOWNSTAIRS
1759229819.88025,2.772037,20.986973,-10.682928,1.893668,-1.331371,-1.025919,6,DOWNSTAIRS
1759229819.90025,6.728156,14.628722,-7.06888,1.237701,-1.600066,-0.893926,6,DOWNSTAIRS
1759229819.91982,9.471162,9.613468,-3.12593,1.506557,-1.887095,-0.614926,6,DOWNSTAIRS
1759229819.94003,10.570849,8.388385,-5.325004,2.086744,-0.828357,-0.411794,6,DOWNSTAIRS
1759229819.96032,8.706065,10.80593,-4.077475,1.589659,-0.657596,-0.313247,6,DOWNSTAIRS
1759229819.98029,5.300762,11.493066,-1.072153,0.289806,-1.683078,-0.712827,6,DOWNSTAIRS
1759229820.00026,4.865167,11.595119,-4.569783,-0.017699,-1.844719,-0.938443,6,DOWNSTAIRS
1759229820.02024,5.424662,9.574562,-3.28679,0.069389,-1.284039,-0.746701,6,DOWNSTAIRS
1759229820.04025,3.929334,6.398803,-0.661697,-0.01406,-1.048446,-0.434401,6,DOWNSTAIRS
1759229820.05951,1.276259,3.002479,-0.354641,-0.260828,-0.719535,-0.189427,6,DOWNSTAIRS
1759229820.08027,-0.300772,0.563386,-1.000477,-0.693803,0.030466,0.226112,6,DOWNSTAIRS
1759229820.10025,-0.224307,-0.896479,-0.842909,-0.950435,0.950746,0.84361,6,DOWNSTAIRS
1759229820.12025,-0.959776,-1.370232,0.154426,-1.064792,1.518941,1.152174,6,DOWNSTAIRS
1759229820.14027,-1.088015,-0.568324,0.508169,-1.143099,2.137731,1.315036,6,DOWNSTAIRS
1759229820.15995,-1.092953,0.002095,0.611419,-1.041512,2.625067,1.533043,6,DOWNSTAIRS
1759229820.18027,-0.609175,2.398092,0.29733,-0.608841,3.4456,1.738251,6,DOWNSTAIRS
1759229820.20027,1.901595,10.130615,-1.479168,-0.265315,5.444981,1.57167,6,DOWNSTAIRS
1759229820.22024,2.791938,17.974768,-8.96419,-0.469901,5.623516,0.28825,6,DOWNSTAIRS
1759229820.24032,1.572242,15.875951,-9.656563,-1.007105,2.53732,-0.965203,6,DOWNSTAIRS
1759229820.25994,-0.462081,9.529372,-6.441899,-0.997803,-0.067273,-1.340328,6,DOWNSTAIRS
1759229820.28025,3.010709,6.438756,-4.991013,-0.27144,-0.782349,-1.098543,6,DOWNSTAIRS
1759229820.30031,16.207249,8.916905,-4.530578,0.606825,-0.98955,0.87175,6,DOWNSTAIRS
1759229820.32031,25.231893,11.83409,-8.111854,0.744143,2.060941,1.875381,6,DOWNSTAIRS
1759229820.34034,6.452523,3.943849,2.479645,-0.052944,-0.626051,-0.195568,6,DOWNSTAIRS
1759229820.36044,4.081964,7.149236,1.929876,-0.100901,-3.536643,-1.248429,6,DOWNSTAIRS
1759229820.37947,2.283021,36.39411,-2.35365,-1.197257,-4.840312,-1.136124,6,DOWNSTAIRS
1759229820.40026,-0.742203,14.942213,3.796755,-1.122482,-1.495769,-1.283277,6,DOWNSTAIRS
1759229820.42043,-2.611775,5.005827,-0.463727,-0.090786,0.016031,-1.525665,6,DOWNSTAIRS
1759229820.44026,4.263026,3.805284,2.458995,0.319541,0.617895,-0.415701,6,DOWNSTAIRS
