SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759224928.587368, -0.945859, 8.097639, -5.156063, -1.192452, 0.209788, 1.106563, -26.618851, -35.873672, -89.990585
1759224928.607346, -3.573196, 7.037905, -4.842572, -0.960365, 0.411421, 0.807529, -26.837372, -36.844604, -89.929459
1759224928.627350, -4.114286, 6.091298, -4.818780, -0.523674, 1.123572, 0.433794, -27.465744, -37.535919, -89.555252
1759224928.647360, -3.647566, 5.623980, -3.488501, 0.174483, 0.797477, 0.027804, -28.620087, -37.837982, -88.647919
1759224928.666466, -2.171990, 4.226364, -1.752107, 0.862057, 1.074256, -0.446717, -28.617188, -37.396622, -87.942123
1759224928.687341, -2.631377, 2.543690, -1.371878, 1.277984, 0.437552, -0.798614, -29.517441, -36.299866, -87.465225
1759224928.707340, -3.617489, 1.730559, -1.851017, 1.998290, -0.330223, -1.471506, -28.867981, -34.728882, -87.135971
1759224928.727344, 3.068020, 11.009437, 0.332345, 2.820233, -0.202410, -2.172098, -28.750519, -32.565109, -86.653030
1759224928.747288, 8.595334, 17.614441, -0.420182, 3.278812, -0.026019, -2.156503, -28.429382, -29.327179, -86.219940
1759224928.766858, 15.348628, 18.216882, -3.327042, 3.102010, -0.814345, -1.460899, -27.667236, -26.150070, -86.314163
1759224928.787349, 13.064859, 15.466243, 0.750582, 2.231923, -3.954986, -0.804415, -26.631653, -23.457367, -87.176987
1759224928.807367, 11.464784, 17.022774, 2.438345, 1.175907, -6.953466, -0.677955, -23.153061, -22.218811, -90.248627
1759224928.827322, 9.994146, 17.010354, -0.656460, 0.987905, -4.823208, -1.077553, -19.362549, -20.537674, -96.490677
1759224928.847323, 9.347412, 19.323153, -4.047996, 2.392886, 0.283928, -1.704830, -19.150742, -18.461136, -96.895050
1759224928.867277, 3.983503, 21.932683, -3.880702, 3.329325, -0.545124, -2.384221, -19.291519, -15.065643, -97.168579
1759224928.887314, 1.975665, 19.053955, -1.134702, 2.847312, -0.173617, -2.357295, -19.935104, -12.591370, -97.858398
1759224928.907320, 3.103634, 15.247473, -0.922665, 2.353681, 1.088850, -1.555475, -20.380264, -10.407578, -98.330505
1759224928.927392, 2.941875, 9.894637, 0.198719, 1.985007, 1.672789, -0.802851, -21.357010, -8.978821, -97.926270
1759224928.947316, 2.798223, 4.342184, 2.061258, 1.384442, 1.954758, -0.274954, -22.262909, -8.141876, -96.818466
1759224928.967131, 3.253870, -0.333243, 3.737498, 0.244073, 1.635985, 0.080726, -22.849457, -7.512222, -95.272186
1759224928.986601, 3.755006, -3.357718, 3.411737, -1.015970, 1.457905, 0.098117, -23.730957, -8.372726, -94.244705
1759224929.007309, 3.011008, -4.767005, 1.028310, -2.072826, 1.643168, 0.301947, -24.800827, -9.068924, -93.032593
1759224929.027297, 2.273444, -3.801693, 1.069011, -2.756775, 1.445841, 0.891291, -25.018143, -11.164948, -91.252487
1759224929.047022, 1.449091, -1.916708, 1.532439, -2.614632, 1.130941, 1.166122, -25.771805, -13.018646, -90.122055
1759224929.067289, -1.307833, -2.262072, -3.414730, 0.278343, -1.472628, 0.038656, -25.209061, -13.429794, -90.144653
1759224929.087295, -3.966594, 4.318990, -16.499192, 2.310377, -2.463868, -0.686224, -24.086639, -12.070724, -92.573425
